model,sampler,sample_frac,hypervolume_proxy
ER,snowball,0.05,0.36683481739382745
ER,snowball,0.05,0.3454697219199647
ER,random_node,0.1,0.48124231100920484
ER,random_node,0.1,0.44711171116063547
ER,snowball,0.5,0.1262836072392536
ER,snowball,0.5,0.11755487357742234
ER,snowball,0.5,0.11338166476190058
ER,random_walk,0.5,0.15341634759978193
ER,random_walk,0.5,0.1507939363716337
ER,preferential_random_walk,0.5,0.12283818063011531
ER,preferential_random_walk,0.5,0.12372686083642609
ER,metropolis_hastings_rw,0.5,0.14947171253113503
BA,random_edge,0.5,0.057891535653392605
BA,random_edge,0.5,0.04151550991220411
BA,random_edge,0.5,0.045003289989610194
BA,random_edge,0.5,0.04953326571971759
BA,random_walk,0.5,0.05024442526783827
BA,random_walk,0.5,0.04509976189781293
BA,random_walk,0.5,0.051051488961225834
BA,random_walk,0.5,0.03726644435829698
BA,preferential_random_walk,0.5,0.030878689491094253
BA,preferential_random_walk,0.5,0.04680554237887092
BA,preferential_random_walk,0.5,0.04502443655548125
BA,preferential_random_walk,0.5,0.05531696350331922
BA,preferential_random_walk,0.5,0.04858222546762406
BA,preferential_random_walk,0.5,0.03481889050157963
BA,preferential_random_walk,0.5,0.03510148981684431
BA,preferential_random_walk,0.5,0.03897550642814442
BA,metropolis_hastings_rw,0.5,0.07432430379003972
BA,metropolis_hastings_rw,0.5,0.05402113366042699
BA,metropolis_hastings_rw,0.5,0.05756038141866173
WS,snowball,0.05,0.38478886062220924
WS,snowball,0.05,0.3608990960544159
WS,random_walk,0.05,0.5008371232510687
WS,snowball,0.1,0.3561957897559909
WS,snowball,0.1,0.35411777434131125
WS,snowball,0.1,0.32195269438864593
WS,snowball,0.1,0.3347064637055772
WS,snowball,0.1,0.33188903067831027
WS,snowball,0.5,0.171945819713617
WS,snowball,0.5,0.1685932467936659
WS,random_walk,0.5,0.2521912901900876
WS,preferential_random_walk,0.5,0.23059091335130033
WS,preferential_random_walk,0.5,0.221589679188927
WS,metropolis_hastings_rw,0.5,0.2110791915747395
ER,random_edge,0.05,0.4551949145086815
ER,snowball,0.05,0.3194999634475692
ER,snowball,0.05,0.33323729311788736
ER,snowball,0.05,0.3421864264385768
ER,random_node,0.1,0.44834394719195697
ER,metropolis_hastings_rw,0.3,0.2802898005604609
ER,random_node,0.5,0.20861571729185988
ER,random_edge,0.5,0.1526873593049651
ER,snowball,0.5,0.11903116200527993
ER,snowball,0.5,0.1251238261440525
ER,snowball,0.5,0.12874480507721617
ER,snowball,0.5,0.11676191108171552
ER,snowball,0.5,0.11230395093595814
ER,snowball,0.5,0.12532380695587841
ER,snowball,0.5,0.11671242734465322
ER,preferential_random_walk,0.5,0.11441640929326964
ER,preferential_random_walk,0.5,0.14118256950667626
ER,preferential_random_walk,0.5,0.1252979989881494
ER,preferential_random_walk,0.5,0.13366330811392754
ER,preferential_random_walk,0.5,0.1294330333919086
BA,random_edge,0.5,0.04165801594206884
BA,random_edge,0.5,0.0548164761942778
BA,random_edge,0.5,0.03765963759168123
BA,random_walk,0.5,0.041642085525057944
BA,random_walk,0.5,0.03632625318878436
BA,random_walk,0.5,0.05608267705177702
BA,preferential_random_walk,0.5,0.04141154910334927
BA,preferential_random_walk,0.5,0.04575145638949499
BA,preferential_random_walk,0.5,0.03593638256428907
BA,preferential_random_walk,0.5,0.038469382763832986
BA,preferential_random_walk,0.5,0.03556930772472451
BA,preferential_random_walk,0.5,0.043031688209330905
BA,preferential_random_walk,0.5,0.033059553501753415
BA,preferential_random_walk,0.5,0.030537114755755546
BA,metropolis_hastings_rw,0.5,0.08125617188550767
BA,metropolis_hastings_rw,0.5,0.053626256426787255
BA,metropolis_hastings_rw,0.5,0.058610288308113
WS,snowball,0.1,0.32516601078170965
WS,snowball,0.1,0.33115370128266725
WS,snowball,0.1,0.2923843021080576
WS,snowball,0.1,0.3166218036600849
WS,snowball,0.1,0.30622076652004987
WS,snowball,0.2,0.2764441378522763
WS,snowball,0.5,0.16736577206611894
WS,snowball,0.5,0.1572619345942842
WS,snowball,0.5,0.15816535895147615
WS,snowball,0.5,0.15540135808035707
WS,snowball,0.5,0.1551948433978935
WS,snowball,0.5,0.16202817847301146
WS,snowball,0.5,0.15998237256770473
WS,random_walk,0.5,0.22291459413081235
WS,random_walk,0.5,0.21573728848951354
WS,preferential_random_walk,0.5,0.22410634220676348
WS,preferential_random_walk,0.5,0.2176574430678575
WS,preferential_random_walk,0.5,0.20649801396462378
WS,preferential_random_walk,0.5,0.19957819956324527
WS,metropolis_hastings_rw,0.5,0.20457701850357415
WS,metropolis_hastings_rw,0.5,0.1951642899830951
WS,metropolis_hastings_rw,0.5,0.21826074771161377
ER,snowball,0.05,0.3639777024698346
ER,snowball,0.05,0.33301588623663886
ER,random_node,0.1,0.4760867660556511
ER,snowball,0.1,0.29305202691204396
ER,random_edge,0.5,0.15359752888001887
ER,snowball,0.5,0.13249282164770323
ER,snowball,0.5,0.12652287025536768
ER,snowball,0.5,0.12633066796658765
ER,random_walk,0.5,0.14986997743126237
ER,preferential_random_walk,0.5,0.1355404817666943
BA,random_edge,0.5,0.04896769083598287
BA,random_edge,0.5,0.05312840748144337
BA,random_edge,0.5,0.03760948912890986
BA,random_edge,0.5,0.04838954695726775
BA,random_edge,0.5,0.046215680885989506
BA,random_edge,0.5,0.04979351220326191
BA,random_edge,0.5,0.05690139631623913
BA,random_edge,0.5,0.03299246766036447
BA,random_walk,0.5,0.038771044260710694
BA,random_walk,0.5,0.04068759632808825
BA,random_walk,0.5,0.05655756168211105
BA,random_walk,0.5,0.03426853011239712
BA,random_walk,0.5,0.04047254895931974
BA,random_walk,0.5,0.04111632295431659
BA,preferential_random_walk,0.5,0.04364885961994059
BA,preferential_random_walk,0.5,0.031344081075166376
BA,preferential_random_walk,0.5,0.030016998896657574
BA,preferential_random_walk,0.5,0.033518793784884655
BA,preferential_random_walk,0.5,0.03695979122191027
BA,preferential_random_walk,0.5,0.04576065882541564
BA,preferential_random_walk,0.5,0.03661004800199354
BA,preferential_random_walk,0.5,0.02977508922085688
BA,preferential_random_walk,0.5,0.027468251413138894
BA,preferential_random_walk,0.5,0.051510000003463084
BA,metropolis_hastings_rw,0.5,0.07314038877979623
BA,metropolis_hastings_rw,0.5,0.05067977669787077
BA,metropolis_hastings_rw,0.5,0.0567068486870916
BA,metropolis_hastings_rw,0.5,0.05866472023862438
WS,snowball,0.05,0.4171925341449085
WS,snowball,0.05,0.3880245159703322
WS,snowball,0.05,0.36829460800054376
WS,snowball,0.05,0.36941290637026225
WS,preferential_random_walk,0.05,0.47860736852361024
WS,preferential_random_walk,0.05,0.4878558622679881
WS,snowball,0.1,0.30256451276714774
WS,snowball,0.1,0.30258779785717754
WS,snowball,0.1,0.3138856130246524
WS,snowball,0.1,0.3318293648983391
WS,preferential_random_walk,0.3,0.400306638516768
WS,snowball,0.5,0.16206242491194603
WS,snowball,0.5,0.1601256965567025
WS,snowball,0.5,0.15924366778897026
WS,snowball,0.5,0.16122578907667187
WS,snowball,0.5,0.16235987829353352
WS,random_walk,0.5,0.23689457813952455
WS,metropolis_hastings_rw,0.5,0.22234607766055828
WS,metropolis_hastings_rw,0.5,0.215482807502991
WS,metropolis_hastings_rw,0.5,0.20686406590261472
WS,metropolis_hastings_rw,0.5,0.21165573604371704
WS,metropolis_hastings_rw,0.5,0.230580668269555
WS,metropolis_hastings_rw,0.5,0.22161885973198311
ER,random_edge,0.05,0.36790618936172076
ER,random_edge,0.05,0.3974407773219703
ER,random_node,0.1,0.43682681996759837
ER,random_node,0.3,0.30983701593907664
ER,snowball,0.5,0.11273994347323603
ER,snowball,0.5,0.11063737303561144
ER,snowball,0.5,0.11384467865272146
ER,random_walk,0.5,0.13403935441488798
ER,preferential_random_walk,0.5,0.11719403840728256
ER,preferential_random_walk,0.5,0.11743578379803403
ER,preferential_random_walk,0.5,0.11634746723438301
ER,preferential_random_walk,0.5,0.11520694048177009
ER,metropolis_hastings_rw,0.5,0.137514873891497
BA,random_edge,0.5,0.021521626370177332
BA,random_edge,0.5,0.020268494383987316
BA,random_edge,0.5,0.017919279313929715
BA,random_edge,0.5,0.01992266649680075
BA,random_edge,0.5,0.022070616498338958
BA,random_edge,0.5,0.02000685638515611
BA,random_edge,0.5,0.020720116874387153
BA,random_edge,0.5,0.019455746885672764
BA,snowball,0.5,0.03320548740262427
BA,snowball,0.5,0.03541424641340374
BA,snowball,0.5,0.030870087042191446
BA,snowball,0.5,0.03556431360089348
BA,snowball,0.5,0.041780812487082764
BA,random_walk,0.5,0.04646998595672793
BA,random_walk,0.5,0.01954944318595259
BA,random_walk,0.5,0.021724636883522785
BA,random_walk,0.5,0.0221909797603974
