model,sampler_a,sampler_b,mean_a,mean_b,mean_diff,W_statistic,p_raw,p_bonferroni,effect_r,effect_magnitude,significant_bonf,n_pairs
all,metropolis_hastings_rw,preferential_random_walk,0.3813,0.4716,-0.0903,795.0,4.6633474353829893e-07,6.995021153074484e-06,0.806,grande,True,90
all,metropolis_hastings_rw,random_edge,0.3813,0.4303,-0.049,638.0,1.4164408004811476e-08,2.1246612007217213e-07,0.844,grande,True,90
all,metropolis_hastings_rw,random_node,0.3813,0.4981,-0.1168,297.0,1.8751413323560255e-12,2.812711998534038e-11,0.927,grande,True,90
all,metropolis_hastings_rw,random_walk,0.3813,0.4155,-0.0342,539.0,1.281218587038643e-09,1.9218278805579644e-08,0.868,grande,True,90
all,metropolis_hastings_rw,snowball,0.3813,0.6706,-0.2893,827.0,9.065369276645106e-07,1.3598053914967659e-05,0.798,grande,True,90
all,preferential_random_walk,random_edge,0.4716,0.4303,0.0413,1830.0,0.3814910374302972,1.0,0.553,grande,False,90
all,preferential_random_walk,random_node,0.4716,0.4981,-0.0265,1306.0,0.0028491129423284067,0.042736694134926104,0.681,grande,True,90
all,preferential_random_walk,random_walk,0.4716,0.4155,0.0561,1652.0,0.11152657585917373,1.0,0.597,grande,False,90
all,preferential_random_walk,snowball,0.4716,0.6706,-0.199,897.0,3.669854964932629e-06,5.5047824473989436e-05,0.781,grande,True,90
all,random_edge,random_node,0.4303,0.4981,-0.0678,501.0,4.888747223954733e-10,7.3331208359320995e-09,0.878,grande,True,90
all,random_edge,random_walk,0.4303,0.4155,0.0148,1115.0,0.00017536662761922947,0.002630499414288442,0.728,grande,True,90
all,random_edge,snowball,0.4303,0.6706,-0.2402,1087.0,0.00011120163753530644,0.0016680245630295966,0.735,grande,True,90
all,random_node,random_walk,0.4981,0.4155,0.0826,490.0,3.683176571475527e-10,5.5247648572132905e-09,0.88,grande,True,90
all,random_node,snowball,0.4981,0.6706,-0.1725,1443.0,0.01500245166206443,0.22503677493096644,0.648,grande,False,90
all,random_walk,snowball,0.4155,0.6706,-0.2551,926.0,6.404770101735816e-06,9.607155152603724e-05,0.774,grande,True,90
BA,metropolis_hastings_rw,preferential_random_walk,0.2809,0.5442,-0.2633,0.0,1.862645149230957e-09,2.7939677238464355e-08,1.0,grande,True,30
BA,metropolis_hastings_rw,random_edge,0.2809,0.3346,-0.0537,40.0,1.597777009010315e-05,0.00023966655135154724,0.914,grande,True,30
BA,metropolis_hastings_rw,random_node,0.2809,0.4184,-0.1375,7.0,3.5390257835388184e-08,5.308538675308228e-07,0.985,grande,True,30
BA,metropolis_hastings_rw,random_walk,0.2809,0.3285,-0.0476,32.0,5.144625902175903e-06,7.716938853263855e-05,0.931,grande,True,30
